[22:00:23] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[22:00:23] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[22:00:23] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/mods/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[22:00:28] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:00:30] [main/INFO]: Loaded 7 recipes
[22:00:30] [main/INFO]: Loaded 1271 advancements
[22:00:30] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:00:30] [Server thread/INFO]: Loading properties
[22:00:30] [Server thread/INFO]: Default game type: SURVIVAL
[22:00:30] [Server thread/INFO]: Generating keypair
[22:00:31] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:00:31] [Server thread/INFO]: Using epoll channel type
[22:00:31] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:00:31] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:00:31] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:00:31] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:00:31] [Server thread/INFO]: Preparing level "world"
[22:00:36] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:00:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:00:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:00:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:00:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:00:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:00:39] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[22:00:40] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[22:00:40] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[22:00:40] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[22:00:41] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[22:00:41] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[22:00:42] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[22:00:42] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[22:00:43] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[22:00:43] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[22:00:44] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[22:00:44] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[22:00:46] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[22:00:46] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[22:00:46] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[22:00:46] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[22:00:47] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[22:00:47] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[22:00:48] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[22:00:48] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[22:00:49] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[22:00:49] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[22:00:50] [Worker-Main-3/INFO]: Preparing spawn area: 32%
[22:00:50] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[22:00:51] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[22:00:51] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[22:00:52] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[22:00:52] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[22:00:53] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[22:00:53] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[22:00:54] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[22:00:54] [Worker-Main-3/INFO]: Preparing spawn area: 57%
[22:00:55] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[22:00:55] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[22:00:56] [Worker-Main-3/INFO]: Preparing spawn area: 65%
[22:00:56] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[22:00:57] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[22:00:57] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[22:00:58] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[22:00:58] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[22:00:59] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[22:00:59] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[22:01:00] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[22:01:00] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[22:01:01] [Worker-Main-1/INFO]: Preparing spawn area: 92%
[22:01:01] [Worker-Main-3/INFO]: Preparing spawn area: 95%
[22:01:02] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[22:01:02] [Server thread/INFO]: Time elapsed: 25674 ms
[22:01:02] [Server thread/INFO]: Done (31.262s)! For help, type "help"
